Date,Day_of_Week,Weather,Temperature,Weekend,Festival,Festival_Name,Holiday,Previous_Day_Sales,Meals_Prepared,Meals_Sold,Food_Wasted,Revenue
15-04-2024,Monday,Sunny,34,No,No,None,No,248,248,224,24,56672
16-04-2024,Tuesday,Rainy,26,No,No,None,No,224,210,183,27,54717
17-04-2024,Wednesday,Cloudy,25,No,Yes,Ram Navami,Yes,183,236,219,17,45114
18-04-2024,Thursday,Rainy,26,No,No,None,No,219,212,185,27,38295
19-04-2024,Friday,Sunny,32,No,No,None,No,185,205,180,25,38340
20-04-2024,Saturday,Sunny,33,Yes,No,None,Yes,180,235,214,21,61418
21-04-2024,Sunday,Rainy,19,Yes,Yes,Mahavir Jayanti,Yes,214,290,269,21,62408
22-04-2024,Monday,Sunny,30,No,No,None,No,269,250,236,14,60416
23-04-2024,Tuesday,Cloudy,28,No,No,None,No,236,235,216,19,47952
24-04-2024,Wednesday,Rainy,21,No,No,None,No,216,206,183,23,33672
25-04-2024,Thursday,Rainy,24,No,No,None,No,183,174,153,21,29682
26-04-2024,Friday,Sunny,31,No,No,None,No,153,170,155,15,29915
27-04-2024,Saturday,Rainy,22,Yes,No,None,Yes,155,195,170,25,49470
28-04-2024,Sunday,Rainy,19,Yes,No,None,Yes,170,216,193,23,42653
29-04-2024,Monday,Sunny,33,No,No,None,No,193,217,189,28,43092
30-04-2024,Tuesday,Rainy,26,No,No,None,No,189,200,174,26,47502
01-05-2024,Wednesday,Cloudy,26,No,No,None,No,174,190,178,12,39160
02-05-2024,Thursday,Rainy,23,No,No,None,No,178,163,156,7,31044
03-05-2024,Friday,Sunny,37,No,No,None,No,156,162,155,7,29915
04-05-2024,Saturday,Rainy,18,Yes,No,None,Yes,155,169,160,9,36160
05-05-2024,Sunday,Sunny,40,Yes,No,None,Yes,160,203,194,9,51798
06-05-2024,Monday,Rainy,25,No,No,None,No,194,205,179,26,43318
07-05-2024,Tuesday,Cloudy,25,No,No,None,No,179,191,181,10,32761
08-05-2024,Wednesday,Cloudy,28,No,No,None,No,181,197,172,25,50740
09-05-2024,Thursday,Sunny,33,No,No,None,No,172,198,174,24,50286
10-05-2024,Friday,Sunny,36,No,No,None,No,174,186,173,13,34946
11-05-2024,Saturday,Rainy,25,Yes,No,None,Yes,173,216,188,28,38916
12-05-2024,Sunday,Rainy,26,Yes,No,None,Yes,188,219,196,23,53508
13-05-2024,Monday,Cloudy,28,No,No,None,No,196,202,189,13,34587
14-05-2024,Tuesday,Cloudy,27,No,No,None,No,189,194,185,9,36260
15-05-2024,Wednesday,Rainy,25,No,No,None,No,185,177,166,11,40670
16-05-2024,Thursday,Cloudy,24,No,No,None,No,166,175,167,8,32565
17-05-2024,Friday,Sunny,31,No,No,None,No,167,174,166,8,49302
18-05-2024,Saturday,Cloudy,26,Yes,No,None,Yes,166,222,197,25,36051
19-05-2024,Sunday,Sunny,33,Yes,No,None,Yes,197,250,218,32,62784
20-05-2024,Monday,Cloudy,30,No,No,None,No,218,233,205,28,43255
21-05-2024,Tuesday,Cloudy,30,No,No,None,No,205,228,202,26,49086
22-05-2024,Wednesday,Cloudy,29,No,No,None,No,202,209,189,20,38745
23-05-2024,Thursday,Sunny,40,No,Yes,Buddha Purnima,Yes,189,265,233,32,42872
24-05-2024,Friday,Cloudy,28,No,No,None,No,233,233,222,11,49284
25-05-2024,Saturday,Rainy,21,Yes,No,None,Yes,222,243,221,22,50167
26-05-2024,Sunday,Rainy,21,Yes,No,None,Yes,221,267,235,32,66740
27-05-2024,Monday,Rainy,25,No,No,None,No,235,231,209,22,50160
28-05-2024,Tuesday,Rainy,19,No,No,None,No,209,204,188,16,49444
29-05-2024,Wednesday,Sunny,33,No,No,None,No,188,204,186,18,50592
30-05-2024,Thursday,Rainy,23,No,No,None,No,186,179,169,10,32786
31-05-2024,Friday,Cloudy,32,No,No,None,No,169,190,178,12,36668
01-06-2024,Saturday,Sunny,32,Yes,No,None,Yes,178,249,221,28,51935
02-06-2024,Sunday,Cloudy,25,Yes,No,None,Yes,221,246,235,11,60865
03-06-2024,Monday,Cloudy,31,No,No,None,No,235,248,226,22,41358
04-06-2024,Tuesday,Sunny,40,No,No,None,No,226,228,210,18,41580
05-06-2024,Wednesday,Sunny,30,No,No,None,No,210,212,200,12,57400
06-06-2024,Thursday,Sunny,30,No,No,None,No,200,203,188,15,34028
07-06-2024,Friday,Sunny,40,No,No,None,No,188,196,185,11,39220
08-06-2024,Saturday,Sunny,39,Yes,No,None,Yes,185,235,212,23,57664
09-06-2024,Sunday,Rainy,18,Yes,No,None,Yes,212,228,206,22,57062
10-06-2024,Monday,Rainy,25,No,No,None,No,206,203,190,13,48830
11-06-2024,Tuesday,Cloudy,28,No,No,None,No,190,200,184,16,55200
12-06-2024,Wednesday,Rainy,25,No,No,None,No,184,196,177,19,48675
13-06-2024,Thursday,Cloudy,32,No,No,None,No,177,210,185,25,46065
14-06-2024,Friday,Sunny,39,No,No,None,No,185,187,177,10,50268
15-06-2024,Saturday,Cloudy,26,Yes,No,None,Yes,177,245,217,28,42749
16-06-2024,Sunday,Rainy,24,Yes,No,None,Yes,217,222,212,10,44732
17-06-2024,Monday,Cloudy,29,No,Yes,Bakrid,Yes,212,308,275,33,78375
18-06-2024,Tuesday,Sunny,37,No,No,None,No,275,258,242,16,67518
19-06-2024,Wednesday,Rainy,26,No,No,None,No,242,231,201,30,41004
20-06-2024,Thursday,Rainy,23,No,No,None,No,201,183,175,8,51800
21-06-2024,Friday,Sunny,34,No,No,None,No,175,188,178,10,44500
22-06-2024,Saturday,Rainy,25,Yes,No,None,Yes,178,197,183,14,41541
23-06-2024,Sunday,Cloudy,24,Yes,No,None,Yes,183,236,223,13,56196
24-06-2024,Monday,Cloudy,25,No,No,None,No,223,242,211,31,46631
25-06-2024,Tuesday,Rainy,18,No,No,None,No,211,208,191,17,52907
26-06-2024,Wednesday,Rainy,28,No,No,None,No,191,200,174,26,47154
27-06-2024,Thursday,Sunny,36,No,No,None,No,174,204,178,26,39872
28-06-2024,Friday,Sunny,37,No,No,None,No,178,190,172,18,46612
29-06-2024,Saturday,Rainy,25,Yes,No,None,Yes,172,197,173,24,48440
30-06-2024,Sunday,Sunny,32,Yes,No,None,Yes,173,206,191,15,45267
01-07-2024,Monday,Sunny,35,No,No,None,No,191,202,184,18,53912
02-07-2024,Tuesday,Rainy,28,No,No,None,No,184,171,156,15,29172
03-07-2024,Wednesday,Sunny,34,No,No,None,No,156,184,169,15,45630
04-07-2024,Thursday,Sunny,31,No,No,None,No,169,192,172,20,38012
05-07-2024,Friday,Sunny,39,No,No,None,No,172,183,173,10,31659
06-07-2024,Saturday,Sunny,36,Yes,No,None,Yes,173,232,202,30,56964
07-07-2024,Sunday,Sunny,39,Yes,Yes,Rath Yatra,Yes,202,324,287,37,78351
08-07-2024,Monday,Rainy,19,No,No,None,No,287,252,238,14,49980
09-07-2024,Tuesday,Rainy,28,No,No,None,No,238,235,208,27,53872
10-07-2024,Wednesday,Rainy,18,No,No,None,No,208,212,191,21,36290
11-07-2024,Thursday,Cloudy,31,No,No,None,No,191,193,181,12,42354
12-07-2024,Friday,Rainy,21,No,No,None,No,181,194,171,23,43263
13-07-2024,Saturday,Cloudy,28,Yes,No,None,Yes,171,207,189,18,51786
14-07-2024,Sunday,Cloudy,27,Yes,No,None,Yes,189,246,220,26,57200
15-07-2024,Monday,Cloudy,28,No,No,None,No,220,224,204,20,49164
16-07-2024,Tuesday,Cloudy,26,No,No,None,No,204,213,189,24,53109
17-07-2024,Wednesday,Rainy,22,No,No,None,No,189,187,169,18,32955
18-07-2024,Thursday,Sunny,40,No,No,None,No,169,187,172,15,47472
19-07-2024,Friday,Sunny,33,No,No,None,No,172,178,168,10,32592
20-07-2024,Saturday,Rainy,27,Yes,No,None,Yes,168,187,167,20,35404
21-07-2024,Sunday,Sunny,35,Yes,No,None,Yes,167,231,209,22,55176
22-07-2024,Monday,Sunny,33,No,No,None,No,209,220,195,25,36270
23-07-2024,Tuesday,Sunny,35,No,No,None,No,195,209,182,27,47684
24-07-2024,Wednesday,Cloudy,32,No,No,None,No,182,202,184,18,35880
25-07-2024,Thursday,Cloudy,27,No,No,None,No,184,210,185,25,45880
26-07-2024,Friday,Cloudy,32,No,No,None,No,185,192,177,15,52569
27-07-2024,Saturday,Rainy,25,Yes,No,None,Yes,177,200,174,26,48198
28-07-2024,Sunday,Rainy,20,Yes,No,None,Yes,174,206,181,25,50137
29-07-2024,Monday,Cloudy,25,No,No,None,No,181,205,180,25,49140
30-07-2024,Tuesday,Rainy,21,No,No,None,No,180,184,166,18,36520
31-07-2024,Wednesday,Sunny,35,No,No,None,No,166,192,169,23,39039
01-08-2024,Thursday,Rainy,23,No,No,None,No,169,168,156,12,30732
02-08-2024,Friday,Cloudy,24,No,No,None,No,156,186,171,15,39843
03-08-2024,Saturday,Sunny,35,Yes,No,None,Yes,171,238,207,31,50715
04-08-2024,Sunday,Sunny,38,Yes,No,None,Yes,207,250,222,28,45954
05-08-2024,Monday,Sunny,37,No,No,None,No,222,225,213,12,53889
06-08-2024,Tuesday,Cloudy,24,No,No,None,No,213,229,201,28,39798
07-08-2024,Wednesday,Rainy,28,No,No,None,No,201,212,186,26,47058
08-08-2024,Thursday,Sunny,32,No,No,None,No,186,213,189,24,53865
09-08-2024,Friday,Sunny,37,No,No,None,No,189,205,192,13,52992
10-08-2024,Saturday,Sunny,38,Yes,No,None,Yes,192,227,213,14,50694
11-08-2024,Sunday,Cloudy,25,Yes,No,None,Yes,213,236,217,19,56203
12-08-2024,Monday,Cloudy,28,No,No,None,No,217,221,207,14,53199
13-08-2024,Tuesday,Cloudy,27,No,No,None,No,207,204,193,11,44969
14-08-2024,Wednesday,Cloudy,25,No,No,None,No,193,207,185,22,48840
15-08-2024,Thursday,Sunny,40,No,No,None,No,185,199,175,24,45500
16-08-2024,Friday,Rainy,20,No,No,None,No,175,189,169,20,43264
17-08-2024,Saturday,Rainy,20,Yes,No,None,Yes,169,195,170,25,38420
18-08-2024,Sunday,Sunny,39,Yes,No,None,Yes,170,228,204,24,50592
19-08-2024,Monday,Rainy,25,No,Yes,Raksha Bandhan,Yes,204,257,234,23,65520
20-08-2024,Tuesday,Cloudy,29,No,No,None,No,234,234,217,17,56420
21-08-2024,Wednesday,Sunny,40,No,No,None,No,217,226,200,26,47200
22-08-2024,Thursday,Cloudy,31,No,No,None,No,200,211,192,19,54336
23-08-2024,Friday,Rainy,19,No,No,None,No,192,184,176,8,37840
24-08-2024,Saturday,Sunny,36,Yes,No,None,Yes,176,243,212,31,54272
25-08-2024,Sunday,Sunny,40,Yes,No,None,Yes,212,262,232,30,44312
26-08-2024,Monday,Rainy,20,No,Yes,Janmashtami,Yes,232,283,270,13,67500
27-08-2024,Tuesday,Rainy,28,No,No,None,No,270,233,214,19,52858
28-08-2024,Wednesday,Rainy,22,No,No,None,No,214,197,183,14,41175
29-08-2024,Thursday,Cloudy,28,No,No,None,No,183,206,181,25,43078
30-08-2024,Friday,Sunny,37,No,No,None,No,181,210,185,25,33300
31-08-2024,Saturday,Rainy,25,Yes,No,None,Yes,185,212,191,21,40301
01-09-2024,Sunday,Sunny,37,Yes,No,None,Yes,191,239,222,17,60384
02-09-2024,Monday,Cloudy,29,No,No,None,No,222,224,214,10,40446
03-09-2024,Tuesday,Cloudy,28,No,No,None,No,214,228,210,18,51660
04-09-2024,Wednesday,Sunny,30,No,No,None,No,210,211,201,10,39798
05-09-2024,Thursday,Rainy,21,No,No,None,No,201,180,163,17,29666
06-09-2024,Friday,Sunny,34,No,No,None,No,163,194,172,22,34228
07-09-2024,Saturday,Sunny,37,Yes,Yes,Ganesh Chaturthi,Yes,172,273,238,35,53074
08-09-2024,Sunday,Cloudy,27,Yes,No,None,Yes,238,275,253,22,56925
09-09-2024,Monday,Rainy,25,No,No,None,No,253,242,213,29,43878
10-09-2024,Tuesday,Rainy,22,No,No,None,No,213,190,178,12,32218
11-09-2024,Wednesday,Cloudy,28,No,No,None,No,178,189,177,12,40533
12-09-2024,Thursday,Sunny,33,No,No,None,No,177,205,180,25,40320
13-09-2024,Friday,Rainy,18,No,No,None,No,180,161,148,13,36704
14-09-2024,Saturday,Sunny,32,Yes,No,None,Yes,148,216,193,23,47285
15-09-2024,Sunday,Sunny,36,Yes,No,None,Yes,193,258,229,29,64807
16-09-2024,Monday,Sunny,38,No,Yes,Eid-e-Milad,Yes,229,317,276,41,81972
17-09-2024,Tuesday,Cloudy,25,No,No,None,No,276,283,251,32,63001
18-09-2024,Wednesday,Sunny,37,No,No,None,No,251,254,229,25,44197
19-09-2024,Thursday,Rainy,23,No,No,None,No,229,199,183,16,51789
20-09-2024,Friday,Sunny,33,No,No,None,No,183,190,178,12,41296
21-09-2024,Saturday,Rainy,27,Yes,No,None,Yes,178,220,193,27,51724
22-09-2024,Sunday,Cloudy,30,Yes,No,None,Yes,193,232,213,19,42600
23-09-2024,Monday,Sunny,38,No,No,None,No,213,209,196,13,54684
24-09-2024,Tuesday,Sunny,34,No,No,None,No,196,223,198,25,49302
25-09-2024,Wednesday,Sunny,31,No,No,None,No,198,216,200,16,59200
26-09-2024,Thursday,Cloudy,31,No,No,None,No,200,223,194,29,57812
27-09-2024,Friday,Sunny,30,No,No,None,No,194,209,194,15,41710
28-09-2024,Saturday,Rainy,26,Yes,No,None,Yes,194,234,209,25,53922
29-09-2024,Sunday,Sunny,36,Yes,No,None,Yes,209,254,238,16,59738
30-09-2024,Monday,Sunny,38,No,No,None,No,238,246,216,30,52272
01-10-2024,Tuesday,Sunny,39,No,No,None,No,216,237,212,25,39008
02-10-2024,Wednesday,Cloudy,24,No,Yes,Gandhi Jayanti,Yes,212,277,243,34,51759
03-10-2024,Thursday,Sunny,32,No,No,None,No,243,233,220,13,53020
04-10-2024,Friday,Sunny,31,No,No,None,No,220,223,211,12,43466
05-10-2024,Saturday,Cloudy,30,Yes,No,None,Yes,211,252,236,16,69148
06-10-2024,Sunday,Rainy,20,Yes,No,None,Yes,236,255,222,33,49728
07-10-2024,Monday,Cloudy,30,No,No,None,No,222,225,207,18,38709
08-10-2024,Tuesday,Sunny,31,No,No,None,No,207,225,203,22,36946
09-10-2024,Wednesday,Cloudy,26,No,No,None,No,203,199,190,9,52250
10-10-2024,Thursday,Sunny,39,No,No,None,No,190,189,180,9,53280
11-10-2024,Friday,Cloudy,28,No,No,None,No,180,194,174,20,37236
12-10-2024,Saturday,Rainy,20,Yes,Yes,Dussehra,Yes,174,255,239,16,48278
13-10-2024,Sunday,Rainy,18,Yes,No,None,Yes,239,272,239,33,43498
14-10-2024,Monday,Rainy,26,No,No,None,No,239,230,217,13,44051
15-10-2024,Tuesday,Rainy,27,No,No,None,No,217,207,192,15,43776
16-10-2024,Wednesday,Rainy,21,No,No,None,No,192,180,164,16,48216
17-10-2024,Thursday,Cloudy,28,No,No,None,No,164,193,174,19,40716
18-10-2024,Friday,Cloudy,28,No,No,None,No,174,210,183,27,49959
19-10-2024,Saturday,Rainy,28,Yes,No,None,Yes,183,215,198,17,38610
20-10-2024,Sunday,Rainy,22,Yes,No,None,Yes,198,219,203,16,36540
21-10-2024,Monday,Rainy,26,No,No,None,No,203,187,174,13,40716
22-10-2024,Tuesday,Cloudy,31,No,No,None,No,174,208,183,25,43554
23-10-2024,Wednesday,Cloudy,31,No,No,None,No,183,200,181,19,36200
24-10-2024,Thursday,Rainy,22,No,No,None,No,181,183,164,19,33456
25-10-2024,Friday,Rainy,18,No,No,None,No,164,172,154,18,37884
26-10-2024,Saturday,Cloudy,32,Yes,No,None,Yes,154,209,198,11,58608
27-10-2024,Sunday,Sunny,31,Yes,No,None,Yes,198,240,221,19,45747
28-10-2024,Monday,Rainy,18,No,No,None,No,221,224,199,25,38208
29-10-2024,Tuesday,Cloudy,26,No,No,None,No,199,214,193,21,47478
30-10-2024,Wednesday,Cloudy,27,No,No,None,No,193,221,196,25,45472
31-10-2024,Thursday,Sunny,31,No,Yes,Diwali,Yes,196,252,240,12,59280
01-11-2024,Friday,Cloudy,24,No,No,None,No,240,250,230,20,65320
02-11-2024,Saturday,Cloudy,29,Yes,No,None,Yes,230,297,261,36,68121
03-11-2024,Sunday,Cloudy,24,Yes,No,None,Yes,261,288,267,21,48327
04-11-2024,Monday,Sunny,34,No,No,None,No,267,256,242,14,68728
05-11-2024,Tuesday,Cloudy,27,No,No,None,No,242,233,216,17,46008
06-11-2024,Wednesday,Sunny,40,No,No,None,No,216,214,204,10,44268
07-11-2024,Thursday,Cloudy,26,No,No,None,No,204,228,200,28,38000
08-11-2024,Friday,Cloudy,26,No,No,None,No,200,211,194,17,36860
09-11-2024,Saturday,Cloudy,25,Yes,No,None,Yes,194,215,205,10,44895
10-11-2024,Sunday,Rainy,19,Yes,No,None,Yes,205,203,194,9,46560
11-11-2024,Monday,Rainy,28,No,No,None,No,194,204,181,23,41630
12-11-2024,Tuesday,Rainy,27,No,No,None,No,181,169,157,12,28574
13-11-2024,Wednesday,Cloudy,27,No,No,None,No,157,178,157,21,33127
14-11-2024,Thursday,Cloudy,30,No,No,None,No,157,177,163,14,34230
15-11-2024,Friday,Cloudy,26,No,Yes,Guru Nanak Jayanti,Yes,163,241,228,13,51984
16-11-2024,Saturday,Cloudy,26,Yes,No,None,Yes,228,253,235,18,70030
17-11-2024,Sunday,Sunny,34,Yes,No,None,Yes,235,280,246,34,68142
18-11-2024,Monday,Cloudy,30,No,No,None,No,246,239,218,21,45998
19-11-2024,Tuesday,Cloudy,26,No,No,None,No,218,220,210,10,56070
20-11-2024,Wednesday,Rainy,24,No,No,None,No,210,191,177,14,45666
21-11-2024,Thursday,Sunny,30,No,No,None,No,177,187,175,12,52500
22-11-2024,Friday,Rainy,24,No,No,None,No,175,169,153,16,37944
23-11-2024,Saturday,Cloudy,27,Yes,No,None,Yes,153,206,191,15,50615
24-11-2024,Sunday,Rainy,27,Yes,No,None,Yes,191,225,198,27,58212
25-11-2024,Monday,Rainy,27,No,No,None,No,198,178,167,11,32732
26-11-2024,Tuesday,Sunny,31,No,No,None,No,167,190,178,12,48950
27-11-2024,Wednesday,Cloudy,24,No,No,None,No,178,181,171,10,37107
28-11-2024,Thursday,Rainy,26,No,No,None,No,171,180,163,17,48737
29-11-2024,Friday,Sunny,39,No,No,None,No,163,180,160,20,36000
30-11-2024,Saturday,Cloudy,28,Yes,No,None,Yes,160,225,205,20,45305
01-12-2024,Sunday,Cloudy,25,Yes,No,None,Yes,205,245,217,28,59241
02-12-2024,Monday,Sunny,31,No,No,None,No,217,217,201,16,54873
03-12-2024,Tuesday,Rainy,26,No,No,None,No,201,193,174,19,44370
04-12-2024,Wednesday,Sunny,38,No,No,None,No,174,179,168,11,42672
05-12-2024,Thursday,Sunny,34,No,No,None,No,168,184,174,10,45414
06-12-2024,Friday,Rainy,18,No,No,None,No,174,179,159,20,33867
07-12-2024,Saturday,Rainy,19,Yes,No,None,Yes,159,209,184,25,45448
08-12-2024,Sunday,Rainy,23,Yes,No,None,Yes,184,211,198,13,57816
09-12-2024,Monday,Rainy,25,No,No,None,No,198,184,174,10,51504
10-12-2024,Tuesday,Rainy,18,No,No,None,No,174,163,146,17,39566
